engine_name,retrieval_mode,top_k,category,total,hits,hit_rate,mrr,index_coverage,misses
rag_vector_bm25,vector_bm25,10,NLP,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,10,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,1,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_only,vector_only,1,NLP,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,1,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,1,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,3,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_only,vector_only,3,NLP,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,3,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,3,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,5,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_only,vector_only,5,NLP,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,5,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,5,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,10,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_only,vector_only,10,NLP,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_only,vector_only,10,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_only,vector_only,10,Web Scraping,1,0,0.0,0.0,0.0,1
simple_vector,vector_only,1,Computer Vision,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,1,Data Processing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,1,Deep Learning,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,1,Interpretability,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,1,MLOps,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,1,Machine Learning,4,3,0.75,0.75,1.0,1
simple_vector,vector_only,1,NLP,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,1,Numerical Computing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,1,Visualization,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,1,Web Scraping,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,Computer Vision,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,Data Processing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,Deep Learning,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,3,Interpretability,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,MLOps,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,Machine Learning,4,4,1.0,0.875,1.0,0
simple_vector,vector_only,3,NLP,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,Numerical Computing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,3,Visualization,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,3,Web Scraping,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,Computer Vision,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,Data Processing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,Deep Learning,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,5,Interpretability,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,MLOps,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,Machine Learning,4,4,1.0,0.875,1.0,0
simple_vector,vector_only,5,NLP,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,Numerical Computing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,5,Visualization,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,5,Web Scraping,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,Computer Vision,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,Data Processing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,Deep Learning,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,10,Interpretability,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,MLOps,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,Machine Learning,4,4,1.0,0.875,1.0,0
simple_vector,vector_only,10,NLP,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,Numerical Computing,1,1,1.0,1.0,1.0,0
simple_vector,vector_only,10,Visualization,2,2,1.0,1.0,1.0,0
simple_vector,vector_only,10,Web Scraping,1,1,1.0,1.0,1.0,0
