query,expected,category,top_k,hit,rank,reciprocal_rank,retrieved_sources,retrieved_types
How to use TensorFlow for deep learning?,tensorflow,Deep Learning,3,True,1.0,1.0,"[""tensorflow"", ""keras"", ""transformers""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is PyTorch?,torch,Deep Learning,3,True,1.0,1.0,"[""torch"", ""torchvision"", ""catboost""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to plot graphs with matplotlib?,matplotlib,Visualization,3,True,1.0,1.0,"[""matplotlib"", ""seaborn"", ""plotly""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is scikit-learn?,scikit-learn,Machine Learning,3,True,1.0,1.0,"[""scikit-learn"", ""catboost"", ""scikit-image""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use XGBoost for classification?,xgboost,Machine Learning,3,True,1.0,1.0,"[""xgboost"", ""catboost"", ""lightgbm""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is SHAP and how does it explain models?,shap,Interpretability,3,True,1.0,1.0,"[""shap"", ""catboost"", ""eli5""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to track ML experiments with MLflow?,mlflow,MLOps,3,True,1.0,1.0,"[""mlflow"", ""wandb"", ""catboost""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to create interactive visualizations with Plotly?,plotly,Visualization,3,True,1.0,1.0,"[""plotly"", ""dash"", ""altair""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is spaCy used for?,spacy,NLP,3,True,1.0,1.0,"[""spacy"", ""gensim"", ""nltk""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use OpenCV for image processing?,opencv-python,Computer Vision,3,True,1.0,1.0,"[""opencv-python"", ""scikit-image"", ""albumentations""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is LightGBM?,lightgbm,Machine Learning,3,True,2.0,0.5,"[""catboost"", ""lightgbm"", ""shap""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to optimize hyperparameters with Optuna?,optuna,Machine Learning,3,True,1.0,1.0,"[""optuna"", ""wandb"", ""transformers""]","[""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is BeautifulSoup used for?,beautifulsoup4,Web Scraping,5,True,1.0,1.0,"[""beautifulsoup4"", ""nltk"", ""textblob"", ""spacy"", ""dash""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to create a pandas DataFrame?,pandas,Data Processing,5,True,1.0,1.0,"[""pandas"", ""dash"", ""feature-engine"", ""featuretools"", ""seaborn""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is NumPy?,numpy,Numerical Computing,5,True,1.0,1.0,"[""numpy"", ""jax"", ""pandas"", ""scipy"", ""nltk""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use TensorFlow for deep learning?,tensorflow,Deep Learning,5,True,1.0,1.0,"[""tensorflow"", ""keras"", ""transformers"", ""catboost"", ""torch""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is PyTorch?,torch,Deep Learning,5,True,1.0,1.0,"[""torch"", ""torchvision"", ""catboost"", ""pytorch-lightning"", ""fastai""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to plot graphs with matplotlib?,matplotlib,Visualization,5,True,1.0,1.0,"[""matplotlib"", ""seaborn"", ""plotly"", ""holoviews"", ""altair""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is scikit-learn?,scikit-learn,Machine Learning,5,True,1.0,1.0,"[""scikit-learn"", ""catboost"", ""scikit-image"", ""imbalanced-learn"", ""feature-engine""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use XGBoost for classification?,xgboost,Machine Learning,5,True,1.0,1.0,"[""xgboost"", ""catboost"", ""lightgbm"", ""shap"", ""eli5""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is SHAP and how does it explain models?,shap,Interpretability,5,True,1.0,1.0,"[""shap"", ""catboost"", ""eli5"", ""feature-engine"", ""dash""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to track ML experiments with MLflow?,mlflow,MLOps,5,True,1.0,1.0,"[""mlflow"", ""wandb"", ""catboost"", ""featuretools"", ""transformers""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to create interactive visualizations with Plotly?,plotly,Visualization,5,True,1.0,1.0,"[""plotly"", ""dash"", ""altair"", ""holoviews"", ""bokeh""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is spaCy used for?,spacy,NLP,5,True,1.0,1.0,"[""spacy"", ""gensim"", ""nltk"", ""textblob"", ""catboost""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use OpenCV for image processing?,opencv-python,Computer Vision,5,True,1.0,1.0,"[""opencv-python"", ""scikit-image"", ""albumentations"", ""torchvision"", ""pillow""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is LightGBM?,lightgbm,Machine Learning,5,True,2.0,0.5,"[""catboost"", ""lightgbm"", ""shap"", ""xgboost"", ""eli5""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to optimize hyperparameters with Optuna?,optuna,Machine Learning,5,True,1.0,1.0,"[""optuna"", ""wandb"", ""transformers"", ""pytorch-lightning"", ""catboost""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is BeautifulSoup used for?,beautifulsoup4,Web Scraping,10,True,1.0,1.0,"[""beautifulsoup4"", ""nltk"", ""textblob"", ""spacy"", ""dash"", ""pandas"", ""catboost"", ""transformers"", ""langchain"", ""torchvision""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to create a pandas DataFrame?,pandas,Data Processing,10,True,1.0,1.0,"[""pandas"", ""dash"", ""feature-engine"", ""featuretools"", ""seaborn"", ""holoviews"", ""altair"", ""fastai"", ""scikit-image"", ""transformers""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is NumPy?,numpy,Numerical Computing,10,True,1.0,1.0,"[""numpy"", ""jax"", ""pandas"", ""scipy"", ""nltk"", ""catboost"", ""scikit-image"", ""gensim"", ""fastai"", ""tensorflow""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use TensorFlow for deep learning?,tensorflow,Deep Learning,10,True,1.0,1.0,"[""tensorflow"", ""keras"", ""transformers"", ""catboost"", ""torch"", ""jax"", ""wandb"", ""fastai"", ""mxnet"", ""flax""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is PyTorch?,torch,Deep Learning,10,True,1.0,1.0,"[""torch"", ""torchvision"", ""catboost"", ""pytorch-lightning"", ""fastai"", ""jax"", ""transformers"", ""mxnet"", ""wandb"", ""langchain""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to plot graphs with matplotlib?,matplotlib,Visualization,10,True,1.0,1.0,"[""matplotlib"", ""seaborn"", ""plotly"", ""holoviews"", ""altair"", ""dash"", ""bokeh"", ""pandas"", ""shap"", ""wandb""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is scikit-learn?,scikit-learn,Machine Learning,10,True,1.0,1.0,"[""scikit-learn"", ""catboost"", ""scikit-image"", ""imbalanced-learn"", ""feature-engine"", ""eli5"", ""mlxtend"", ""pandas"", ""scipy"", ""category-encoders""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use XGBoost for classification?,xgboost,Machine Learning,10,True,1.0,1.0,"[""xgboost"", ""catboost"", ""lightgbm"", ""shap"", ""eli5"", ""mxnet"", ""transformers"", ""feature-engine"", ""category-encoders"", ""mlxtend""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is SHAP and how does it explain models?,shap,Interpretability,10,True,1.0,1.0,"[""shap"", ""catboost"", ""eli5"", ""feature-engine"", ""dash"", ""featuretools"", ""spacy"", ""fastai"", ""wandb"", ""transformers""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to track ML experiments with MLflow?,mlflow,MLOps,10,True,1.0,1.0,"[""mlflow"", ""wandb"", ""catboost"", ""featuretools"", ""transformers"", ""langchain"", ""optuna"", ""dash"", ""pytorch-lightning"", ""feature-engine""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to create interactive visualizations with Plotly?,plotly,Visualization,10,True,1.0,1.0,"[""plotly"", ""dash"", ""altair"", ""holoviews"", ""bokeh"", ""seaborn"", ""pandas"", ""wandb"", ""featuretools"", ""shap""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is spaCy used for?,spacy,NLP,10,True,1.0,1.0,"[""spacy"", ""gensim"", ""nltk"", ""textblob"", ""catboost"", ""transformers"", ""langchain"", ""sentencepiece"", ""tokenizers"", ""featuretools""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to use OpenCV for image processing?,opencv-python,Computer Vision,10,True,1.0,1.0,"[""opencv-python"", ""scikit-image"", ""albumentations"", ""torchvision"", ""pillow"", ""spacy"", ""feature-engine"", ""torch"", ""wandb"", ""lightgbm""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
What is LightGBM?,lightgbm,Machine Learning,10,True,2.0,0.5,"[""catboost"", ""lightgbm"", ""shap"", ""xgboost"", ""eli5"", ""feature-engine"", ""featuretools"", ""optuna"", ""wandb"", ""gensim""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
How to optimize hyperparameters with Optuna?,optuna,Machine Learning,10,True,1.0,1.0,"[""optuna"", ""wandb"", ""transformers"", ""pytorch-lightning"", ""catboost"", ""torch"", ""feature-engine"", ""fastai"", ""keras"", ""tokenizers""]","[""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package"", ""pypi_package""]"
